#rho                  Ec
 5.305696590999159E+00 -1.232246737385885E+13
 5.330539388830895E+00 -1.231908859370426E+13
 5.355615923337902E+00 -1.231564050403750E+13
 5.380929508824305E+00 -1.231212174769925E+13
 5.406483522552697E+00 -1.230853093607847E+13
 5.432281406246221E+00 -1.230486664824720E+13
 5.458326667633866E+00 -1.230112743006751E+13
 5.484622882040421E+00 -1.229731179326962E+13
 5.511173694022625E+00 -1.229341821450019E+13
 5.537982819053049E+00 -1.228944513433948E+13
 5.565054045253392E+00 -1.228539095628645E+13
 5.592391235178845E+00 -1.228125404571043E+13
 5.619998327655310E+00 -1.227703272876812E+13
 5.647879339671315E+00 -1.227272529128472E+13
 5.676038368326513E+00 -1.226832997759760E+13
 5.704479592838774E+00 -1.226384498936131E+13
 5.733207276611904E+00 -1.225926848431231E+13
 5.762225769366185E+00 -1.225459857499184E+13
 5.791539509333922E+00 -1.224983332742538E+13
 5.821153025522361E+00 -1.224497075975697E+13
 5.851070940046387E+00 -1.224000884083659E+13
 5.881297970533523E+00 -1.223494548875878E+13
 5.911838932603868E+00 -1.222977856935056E+13
 5.942698742427703E+00 -1.222450589460656E+13
 5.973882419363624E+00 -1.221912522106940E+13
 6.005395088680167E+00 -1.221363424815289E+13
 6.037241984364043E+00 -1.220803061640595E+13
 6.069428452018190E+00 -1.220231190571469E+13
 6.101959951853027E+00 -1.219647563344016E+13
 6.134842061774433E+00 -1.219051925248915E+13
 6.168080480572095E+00 -1.218444014931522E+13
 6.201681031212077E+00 -1.217823564184710E+13
 6.235649664237592E+00 -1.217190297734137E+13
 6.269992461282158E+00 -1.216543933015630E+13
 6.304715638699474E+00 -1.215884179944345E+13
 6.339825551314602E+00 -1.215210740675361E+13
 6.375328696301175E+00 -1.214523309355328E+13
 6.411231717189612E+00 -1.213821571864807E+13
 6.447541408011544E+00 -1.213105205550872E+13
 6.484264717585874E+00 -1.212373878949575E+13
 6.521408753952131E+00 -1.211627251497817E+13
 6.558980788957098E+00 -1.210864973234159E+13
 6.596988263000894E+00 -1.210086684488095E+13
 6.635438789949044E+00 -1.209292015557264E+13
 6.674340162217320E+00 -1.208480586372060E+13
 6.713700356036521E+00 -1.207652006147083E+13
 6.753527536904626E+00 -1.206805873018830E+13
 6.793830065234171E+00 -1.205941773668996E+13
 6.834616502203060E+00 -1.205059282932733E+13
 6.875895615817381E+00 -1.204157963391174E+13
 6.917676387195278E+00 -1.203237364947483E+13
 6.959968017081311E+00 -1.202297024385679E+13
 7.002779932601255E+00 -1.201336464911418E+13
 7.046121794267730E+00 -1.200355195673873E+13
 7.090003503247614E+00 -1.199352711267840E+13
 7.134435208902715E+00 -1.198328491215094E+13
 7.179427316615773E+00 -1.197281999424027E+13
 7.224990495914446E+00 -1.196212683626500E+13
 7.271135688906636E+00 -1.195119974790804E+13
 7.317874119041133E+00 -1.194003286509570E+13
 7.365217300208328E+00 -1.192862014361374E+13
 7.413177046196494E+00 -1.191695535244761E+13
 7.461765480519928E+00 -1.190503206683278E+13
 7.510995046636169E+00 -1.189284366100093E+13
 7.560878518570332E+00 -1.188038330060639E+13
 7.611429011965652E+00 -1.186764393481664E+13
 7.662659995580292E+00 -1.185461828804966E+13
 7.714585303251599E+00 -1.184129885133997E+13
 7.767219146350120E+00 -1.182767787331398E+13
 7.820576126746948E+00 -1.181374735075426E+13
 7.874671250319222E+00 -1.179949901873126E+13
 7.929519941020057E+00 -1.178492434027921E+13
 7.985138055540594E+00 -1.177001449559233E+13
 8.041541898593431E+00 -1.175476037071515E+13
 8.098748238848440E+00 -1.173915254569991E+13
 8.156774325553597E+00 -1.172318128220180E+13
 8.215637905875521E+00 -1.170683651048130E+13
 8.275357242996286E+00 -1.169010781578078E+13
 8.335951135005278E+00 -1.167298442404062E+13
 8.397438934627166E+00 -1.165545518691775E+13
 8.459840569829467E+00 -1.163750856606721E+13
 8.523176565355792E+00 -1.161913261664488E+13
 8.587468065233674E+00 -1.160031496998661E+13
 8.652736856308813E+00 -1.158104281541636E+13
 8.719005392860762E+00 -1.156130288113248E+13
 8.786296822358494E+00 -1.154108141411820E+13
 8.854635012417898E+00 -1.152036415901871E+13
 8.924044579027148E+00 -1.149913633592317E+13
 8.994550916110100E+00 -1.147738261698602E+13
 9.066180226502254E+00 -1.145508710181749E+13
 9.138959554418706E+00 -1.143223329156808E+13
 9.212916819498574E+00 -1.140880406162693E+13
 9.288080852515948E+00 -1.138478163284814E+13
 9.364481432853314E+00 -1.136014754121315E+13
 9.442149327839781E+00 -1.133488260583072E+13
 9.521116334063279E+00 -1.130896689516898E+13
 9.601415320773263E+00 -1.128237969140634E+13
 9.683080275498392E+00 -1.125509945277996E+13
 9.766146352012186E+00 -1.122710377380121E+13
 9.850649920788880E+00 -1.119836934319838E+13
 9.936628622101628E+00 -1.116887189943582E+13
 1.002412142192589E+01 -1.113858618364783E+13
 1.011316867082249E+01 -1.110748588981301E+13
 1.020381216598719E+01 -1.107554361198143E+13
 1.029609521666743E+01 -1.104273078835248E+13
 1.039006271316110E+01 -1.100901764198539E+13
 1.048576119962853E+01 -1.097437311790729E+13
 1.058323895096565E+01 -1.093876481636462E+13
 1.068254605400519E+01 -1.090215892194382E+13
 1.078373449333291E+01 -1.086452012826432E+13
 1.088685824202762E+01 -1.082581155792299E+13
 1.099197335765800E+01 -1.078599467734231E+13
 1.109913808389485E+01 -1.074502920614585E+13
 1.120841295812571E+01 -1.070287302065229E+13
 1.131986092548982E+01 -1.065948205104503E+13
 1.143354745978461E+01 -1.061481017173578E+13
 1.154954069173174E+01 -1.056880908439884E+13
 1.166791154513077E+01 -1.052142819310687E+13
 1.178873388147207E+01 -1.047261447094830E+13
 1.191208465362866E+01 -1.042231231745098E+13
 1.203804406929898E+01 -1.037046340607532E+13
 1.216669576492996E+01 -1.031700652097312E+13
 1.229812699091302E+01 -1.026187738213309E+13
 1.243242880891465E+01 -1.020500845795273E+13
 1.256969630227944E+01 -1.014632876418432E+13
 1.271002880052721E+01 -1.008576364810314E+13
 1.285353011905814E+01 -1.002323455663366E+13
 1.300030881528146E+01 -9.958658787046191E+12
 1.315047846249581E+01 -9.891949218699160E+12
 1.330415794297337E+01 -9.823014024149021E+12
 1.346147176183725E+01 -9.751756357780279E+12
 1.362255038347386E+01 -9.678074019918186E+12
 1.378753059239061E+01 -9.601859094175500E+12
 1.395655588061680E+01 -9.522997555548236E+12
 1.412977686395371E+01 -9.441368846511082E+12
 1.430735172961181E+01 -9.356845418066998E+12
 1.448944671803152E+01 -9.269292232373268E+12
 1.467623664197206E+01 -9.178566223193137E+12
 1.486790544627560E+01 -9.084515710002223E+12
 1.506464681207422E+01 -8.986979761105912E+12
 1.526666480961168E+01 -8.885787500590180E+12
 1.547417460430539E+01 -8.780757353325027E+12
 1.568740322118416E+01 -8.671696221556969E+12
 1.590659037341107E+01 -8.558398585852923E+12
 1.613198936124813E+01 -8.440645522278613E+12
 1.636386804855046E+01 -8.318203626694601E+12
 1.660250992470445E+01 -8.190823835913214E+12
 1.684821526086147E+01 -8.058240134158350E+12
 1.710130237038250E+01 -7.920168131781697E+12
 1.736210898461860E+01 -7.776303501483046E+12
 1.763099375653061E+01 -7.626320255323435E+12
 1.790833790622488E+01 -7.469868843566006E+12
 1.819454702428170E+01 -7.306574053780234E+12
 1.849005305081577E+01 -7.136032685641945E+12
 1.879531645057769E+01 -6.957810973383016E+12
 1.911082860713278E+01 -6.771441723806786E+12
 1.943711446229963E+01 -6.576421133086979E+12
 1.977473543066967E+01 -6.372205240087181E+12
 2.012429262324581E+01 -6.158205967529288E+12
 2.048643041913832E+01 -5.933786694825140E+12
 2.086184042996484E+01 -5.698257297551141E+12
 2.125126590826815E+01 -5.450868578130919E+12
 2.165550665907445E+01 -5.190805999976442E+12
 2.207542452288640E+01 -4.917182622733687E+12
 2.251194950920843E+01 -4.629031118905015E+12
 2.296608667246779E+01 -4.325294731384760E+12
 2.343892383732464E+01 -4.004817006613074E+12
 2.393164029835826E+01 -3.666330108213568E+12
 2.444551664058639E+01 -3.308441479991582E+12
 2.498194585298578E+01 -2.929618583601459E+12
 2.554244593808406E+01 -2.528171383238713E+12
 2.612867425797902E+01 -2.102232185090377E+12
 2.674244390230900E+01 -1.649732360076367E+12
 2.738574241864577E+01 -1.168375380911809E+12
 2.806075331291685E+01 -6.556054839262070E+11
 2.876988080987017E+01 -1.085711161920508E+11
 2.951577846522788E+01 4.759178587247930E+11
 3.030138234715593E+01 1.101440458243562E+12
 3.112994966165978E+01 1.772023940341256E+12
 3.200510389321947E+01 2.492214161442744E+12
 3.293088777988864E+01 3.267159351270635E+12
 3.391182575645653E+01 4.102710344078648E+12
 3.495299790051429E+01 5.005541110056443E+12
 3.606012793189274E+01 5.983294480561150E+12
 3.723968848336416E+01 7.044759341758744E+12
 3.849902773105994E+01 8.200087402568795E+12
 3.984652261784632E+01 9.461060092600838E+12
 4.129176542138900E+01 1.084141945337919E+13
 4.284579245146228E+01 1.235728139621256E+13
 4.452136640936606E+01 1.402765591486015E+13
